Region_code,Price,Property_type,Bedrooms_str,Year,Month_name,Day_name
2611,695000,house,Four_bedrooms,2008,March,Thursday
2906,420000,house,Four_bedrooms,2008,April,Wednesday
2611,503000,house,Three_bedrooms,2008,April,Wednesday
2906,380000,house,Three_bedrooms,2008,April,Thursday
2906,334000,house,Three_bedrooms,2008,April,Friday
2611,395000,house,Three_bedrooms,2008,April,Friday
2615,467500,house,Four_bedrooms,2008,April,Friday
2604,522500,house,Three_bedrooms,2008,April,Monday
2913,635000,house,Five_bedrooms,2008,April,Monday
2617,690000,house,Four_bedrooms,2008,April,Monday
2904,780000,house,Four_bedrooms,2008,April,Monday
2904,679000,house,Five_bedrooms,2008,April,Tuesday
2602,467000,house,Three_bedrooms,2008,April,Friday
2906,649000,house,Five_bedrooms,2008,April,Monday
2902,675000,house,Four_bedrooms,2008,April,Tuesday
2905,415000,house,Three_bedrooms,2008,April,Wednesday
2611,445000,house,Four_bedrooms,2008,April,Wednesday
2600,292500,house,One_bedrooms,2008,April,Thursday
2602,450000,house,Three_bedrooms,2008,April,Thursday
2602,680000,house,Four_bedrooms,2008,April,Tuesday
2602,950000,house,Four_bedrooms,2008,April,Tuesday
2602,485000,house,Three_bedrooms,2008,April,Wednesday
2617,640000,house,Four_bedrooms,2008,May,Thursday
2906,332000,house,Two_bedrooms,2008,May,Friday
2906,622500,house,Four_bedrooms,2008,May,Friday
2602,775000,house,Four_bedrooms,2008,May,Friday
2604,575000,house,Two_bedrooms,2008,May,Monday
2604,690000,house,Three_bedrooms,2008,May,Monday
2611,465000,house,Three_bedrooms,2008,May,Friday
2906,635000,house,Five_bedrooms,2008,May,Monday
2906,307000,house,Two_bedrooms,2008,May,Tuesday
2611,450000,house,Three_bedrooms,2008,May,Wednesday
2902,442000,house,Three_bedrooms,2008,May,Friday
2611,490000,house,Three_bedrooms,2008,May,Friday
2602,865000,house,Five_bedrooms,2008,May,Saturday
2905,430000,house,Four_bedrooms,2008,May,Monday
2905,444000,house,Three_bedrooms,2008,May,Friday
2607,535000,house,Three_bedrooms,2008,May,Tuesday
2611,542000,house,Four_bedrooms,2008,May,Wednesday
2906,357000,house,Three_bedrooms,2008,May,Friday
2611,429000,house,Three_bedrooms,2008,June,Monday
2603,1180000,house,Four_bedrooms,2008,June,Monday
2615,375000,house,Four_bedrooms,2008,June,Tuesday
2605,526000,house,Three_bedrooms,2008,June,Friday
2601,760000,house,Three_bedrooms,2008,June,Friday
2611,447250,house,Three_bedrooms,2008,June,Tuesday
2602,492500,house,Three_bedrooms,2008,June,Tuesday
2617,727500,house,Four_bedrooms,2008,June,Tuesday
2615,360100,house,Four_bedrooms,2008,June,Wednesday
2605,750000,house,Three_bedrooms,2008,June,Wednesday
2905,365000,house,Three_bedrooms,2008,June,Friday
2617,670000,house,Four_bedrooms,2008,June,Friday
2903,419000,house,Four_bedrooms,2008,June,Saturday
2912,515000,house,Three_bedrooms,2008,June,Saturday
2906,340000,house,Three_bedrooms,2008,June,Tuesday
2914,600000,house,Four_bedrooms,2008,June,Tuesday
2615,362000,house,Four_bedrooms,2008,June,Wednesday
2600,765000,house,Five_bedrooms,2008,June,Thursday
2602,770000,house,Four_bedrooms,2008,June,Thursday
2904,469000,house,Four_bedrooms,2008,June,Friday
2913,367000,house,Three_bedrooms,2008,June,Monday
2905,465000,house,Four_bedrooms,2008,June,Tuesday
2906,375000,house,Three_bedrooms,2008,June,Wednesday
2904,505000,house,Four_bedrooms,2008,June,Wednesday
2602,605000,house,Three_bedrooms,2008,June,Wednesday
2913,325000,house,Three_bedrooms,2008,June,Thursday
2617,421000,house,Three_bedrooms,2008,June,Friday
2903,550000,house,Four_bedrooms,2008,June,Friday
2913,590000,house,Four_bedrooms,2008,June,Friday
2615,522500,house,Four_bedrooms,2008,June,Sunday
2604,480000,house,Two_bedrooms,2008,June,Monday
2607,1165000,house,Five_bedrooms,2008,June,Monday
2904,670000,house,Four_bedrooms,2008,July,Tuesday
2905,375000,house,Three_bedrooms,2008,July,Friday
2614,392500,house,Four_bedrooms,2008,July,Monday
2617,445000,house,Four_bedrooms,2008,July,Monday
2611,383000,house,Three_bedrooms,2008,July,Tuesday
2906,418000,house,Three_bedrooms,2008,July,Thursday
2603,860000,house,Two_bedrooms,2008,July,Thursday
2611,418000,house,Three_bedrooms,2008,July,Friday
2614,442000,house,Four_bedrooms,2008,July,Friday
2905,360000,house,Three_bedrooms,2008,July,Monday
2906,495000,house,Four_bedrooms,2008,July,Monday
2602,468000,house,Three_bedrooms,2008,July,Wednesday
2605,605000,house,Three_bedrooms,2008,July,Wednesday
2603,1090000,house,Four_bedrooms,2008,July,Wednesday
2607,558000,house,Four_bedrooms,2008,July,Thursday
2614,700000,house,Three_bedrooms,2008,July,Friday
2602,1300000,house,Four_bedrooms,2008,July,Friday
2905,320000,house,Three_bedrooms,2008,July,Saturday
2617,415000,house,Three_bedrooms,2008,July,Wednesday
2906,480000,house,Four_bedrooms,2008,July,Wednesday
2607,553000,house,Four_bedrooms,2008,July,Wednesday
2607,885000,house,Four_bedrooms,2008,July,Wednesday
2615,370000,house,Four_bedrooms,2008,July,Friday
2605,564000,house,Three_bedrooms,2008,July,Saturday
2905,365000,house,Three_bedrooms,2008,July,Monday
2600,927000,house,Four_bedrooms,2008,July,Tuesday
2617,360000,house,Three_bedrooms,2008,July,Wednesday
2615,390000,house,Four_bedrooms,2008,July,Wednesday
2615,440000,house,Four_bedrooms,2008,July,Thursday
2611,430000,house,Three_bedrooms,2008,August,Friday
