Region_code,Price,Property_type,Bedrooms_str,Year,Month_name,Day_name,Price_per_bedrooms
2617,727500,house,Four_bedrooms,2008,June,Tuesday,181875.0
2615,360100,house,Four_bedrooms,2008,June,Wednesday,90025.0
2605,750000,house,Three_bedrooms,2008,June,Wednesday,250000.0
2905,365000,house,Three_bedrooms,2008,June,Friday,121667.0
2617,670000,house,Four_bedrooms,2008,June,Friday,167500.0
2903,419000,house,Four_bedrooms,2008,June,Saturday,104750.0
2912,515000,house,Three_bedrooms,2008,June,Saturday,171667.0
2906,340000,house,Three_bedrooms,2008,June,Tuesday,113333.0
2914,600000,house,Four_bedrooms,2008,June,Tuesday,150000.0
2615,362000,house,Four_bedrooms,2008,June,Wednesday,90500.0
2600,765000,house,Five_bedrooms,2008,June,Thursday,153000.0
2602,770000,house,Four_bedrooms,2008,June,Thursday,192500.0
2904,469000,house,Four_bedrooms,2008,June,Friday,117250.0
2913,367000,house,Three_bedrooms,2008,June,Monday,122333.0
2905,465000,house,Four_bedrooms,2008,June,Tuesday,116250.0
2906,375000,house,Three_bedrooms,2008,June,Wednesday,125000.0
2904,505000,house,Four_bedrooms,2008,June,Wednesday,126250.0
2602,605000,house,Three_bedrooms,2008,June,Wednesday,201667.0
2913,325000,house,Three_bedrooms,2008,June,Thursday,108333.0
2617,421000,house,Three_bedrooms,2008,June,Friday,140333.0
2903,550000,house,Four_bedrooms,2008,June,Friday,137500.0
2913,590000,house,Four_bedrooms,2008,June,Friday,147500.0
2615,522500,house,Four_bedrooms,2008,June,Sunday,130625.0
2604,480000,house,Two_bedrooms,2008,June,Monday,240000.0
2607,1165000,house,Five_bedrooms,2008,June,Monday,233000.0
2904,670000,house,Four_bedrooms,2008,July,Tuesday,167500.0
2905,375000,house,Three_bedrooms,2008,July,Friday,125000.0
2614,392500,house,Four_bedrooms,2008,July,Monday,98125.0
2617,445000,house,Four_bedrooms,2008,July,Monday,111250.0
2611,383000,house,Three_bedrooms,2008,July,Tuesday,127667.0
2906,418000,house,Three_bedrooms,2008,July,Thursday,139333.0
2603,860000,house,Two_bedrooms,2008,July,Thursday,430000.0
2611,418000,house,Three_bedrooms,2008,July,Friday,139333.0
2614,442000,house,Four_bedrooms,2008,July,Friday,110500.0
2905,360000,house,Three_bedrooms,2008,July,Monday,120000.0
2906,495000,house,Four_bedrooms,2008,July,Monday,123750.0
2602,468000,house,Three_bedrooms,2008,July,Wednesday,156000.0
2605,605000,house,Three_bedrooms,2008,July,Wednesday,201667.0
2603,1090000,house,Four_bedrooms,2008,July,Wednesday,272500.0
2607,558000,house,Four_bedrooms,2008,July,Thursday,139500.0
2614,700000,house,Three_bedrooms,2008,July,Friday,233333.0
2602,1300000,house,Four_bedrooms,2008,July,Friday,325000.0
2905,320000,house,Three_bedrooms,2008,July,Saturday,106667.0
2617,415000,house,Three_bedrooms,2008,July,Wednesday,138333.0
2906,480000,house,Four_bedrooms,2008,July,Wednesday,120000.0
2607,553000,house,Four_bedrooms,2008,July,Wednesday,138250.0
2607,885000,house,Four_bedrooms,2008,July,Wednesday,221250.0
2615,370000,house,Four_bedrooms,2008,July,Friday,92500.0
2605,564000,house,Three_bedrooms,2008,July,Saturday,188000.0
2905,365000,house,Three_bedrooms,2008,July,Monday,121667.0
2600,927000,house,Four_bedrooms,2008,July,Tuesday,231750.0
2617,360000,house,Three_bedrooms,2008,July,Wednesday,120000.0
2615,390000,house,Four_bedrooms,2008,July,Wednesday,97500.0
2615,440000,house,Four_bedrooms,2008,July,Thursday,110000.0
2611,430000,house,Three_bedrooms,2008,August,Friday,143333.0
2601,595000,house,Three_bedrooms,2008,August,Friday,198333.0
2617,365000,house,Three_bedrooms,2008,August,Monday,121667.0
2611,585000,house,Three_bedrooms,2008,August,Monday,195000.0
2912,602500,house,Four_bedrooms,2008,August,Monday,150625.0
2906,359000,house,Three_bedrooms,2008,August,Tuesday,119667.0
2902,475000,house,Three_bedrooms,2008,August,Tuesday,158333.0
2615,315000,house,Three_bedrooms,2008,August,Wednesday,105000.0
2615,320000,house,Four_bedrooms,2008,August,Wednesday,80000.0
2617,325000,house,Four_bedrooms,2008,August,Wednesday,81250.0
2615,341000,house,Three_bedrooms,2008,August,Wednesday,113667.0
2617,540000,house,Four_bedrooms,2008,August,Wednesday,135000.0
2615,395000,house,Four_bedrooms,2008,August,Thursday,98750.0
2617,370000,house,Three_bedrooms,2008,August,Saturday,123333.0
2602,620000,house,Four_bedrooms,2008,August,Saturday,155000.0
2906,631000,house,Four_bedrooms,2008,August,Saturday,157750.0
2615,405000,house,Four_bedrooms,2008,August,Monday,101250.0
2605,548000,house,Three_bedrooms,2008,August,Tuesday,182667.0
2615,405000,house,Four_bedrooms,2008,August,Wednesday,101250.0
2611,420000,house,Three_bedrooms,2008,August,Wednesday,140000.0
2611,531500,house,Four_bedrooms,2008,August,Wednesday,132875.0
2611,350000,house,Two_bedrooms,2008,August,Thursday,175000.0
2906,365000,house,Three_bedrooms,2008,August,Friday,121667.0
2905,375000,house,Three_bedrooms,2008,August,Friday,125000.0
2611,402000,house,Three_bedrooms,2008,August,Friday,134000.0
2902,420000,house,Three_bedrooms,2008,August,Friday,140000.0
2913,550000,house,Two_bedrooms,2008,August,Friday,275000.0
2913,585000,house,Four_bedrooms,2008,August,Friday,146250.0
2615,279500,house,Two_bedrooms,2008,August,Monday,139750.0
2615,330000,house,Three_bedrooms,2008,August,Tuesday,110000.0
2617,360000,house,Three_bedrooms,2008,August,Tuesday,120000.0
2905,370000,house,Three_bedrooms,2008,August,Tuesday,123333.0
2611,405000,house,Three_bedrooms,2008,August,Wednesday,135000.0
2913,395000,house,Three_bedrooms,2008,August,Thursday,131667.0
2617,490000,house,Four_bedrooms,2008,August,Thursday,122500.0
2905,530000,house,Five_bedrooms,2008,August,Thursday,106000.0
2607,680000,house,Four_bedrooms,2008,August,Thursday,170000.0
2605,495000,house,Four_bedrooms,2008,August,Friday,123750.0
2617,805000,house,Four_bedrooms,2008,August,Friday,201250.0
2607,630000,house,Four_bedrooms,2008,August,Saturday,157500.0
2913,400000,house,Three_bedrooms,2008,August,Monday,133333.0
2614,345000,house,Three_bedrooms,2008,August,Wednesday,115000.0
2913,440000,house,Three_bedrooms,2008,August,Wednesday,146667.0
2611,510000,house,Four_bedrooms,2008,August,Wednesday,127500.0
2905,310000,house,Three_bedrooms,2008,August,Thursday,103333.0
2906,370000,house,Four_bedrooms,2008,August,Friday,92500.0
2914,465000,house,Four_bedrooms,2008,August,Friday,116250.0
2905,342000,house,Three_bedrooms,2008,August,Saturday,114000.0
2903,380000,house,Three_bedrooms,2008,September,Monday,126667.0
2906,345000,house,Three_bedrooms,2008,September,Tuesday,115000.0
2615,370000,house,Four_bedrooms,2008,September,Tuesday,92500.0
2906,495000,house,Four_bedrooms,2008,September,Tuesday,123750.0
2914,541000,house,Four_bedrooms,2008,September,Tuesday,135250.0
2600,1380000,house,Five_bedrooms,2008,September,Tuesday,276000.0
2615,372000,house,Three_bedrooms,2008,September,Wednesday,124000.0
2617,415000,house,Three_bedrooms,2008,September,Wednesday,138333.0
2913,335000,house,Three_bedrooms,2008,September,Thursday,111667.0
2913,1150000,house,Five_bedrooms,2008,September,Thursday,230000.0
2615,387000,house,Three_bedrooms,2008,September,Friday,129000.0
2914,395000,house,Three_bedrooms,2008,September,Friday,131667.0
2905,400000,house,Four_bedrooms,2008,September,Friday,100000.0
2617,426000,house,Three_bedrooms,2008,September,Friday,142000.0
2914,552000,house,Four_bedrooms,2008,September,Friday,138000.0
2615,349000,house,Three_bedrooms,2008,September,Monday,116333.0
